Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     ,dollarindex
19940429,390.35,393.79,368.2,377.04,0,61.067,61.751,92.08
19940531,376.5,390.1,372.04,385.72,0,67.43,63.644,92.52
19940630,387.14,396,378,385.79,0,70.658,65.982,89.62
19940729,386.25,389.79,381.5,383.2,0,68.139,66.701,89.87
19940831,384,389.64,375.1,386.6,0,66.804,66.735,89.67
19940930,386.2,398.6,385.39,394.25,0,73.099,68.857,87.88
19941031,393.5,396.7,381.89,384,0,66.057,67.924,85.69
19941130,383.25,387.5,380.29,381.39,0,58.501,64.783,89.13
19941230,380.64,385.39,374.89,383.2,0,55.448,61.671,88.73
19950131,383,386.25,371,375.1,0,41.917,55.086,88.01
19950228,374.5,380.54,373.5,377.1,0,35.312,48.495,85.94
19950331,376.64,397.5,372.79,391.39,0,48.167,48.386,81.9
19950428,391.25,398.29,385.1,387.1,0,51.556,49.442,81.92
19950531,386.14,392.29,380.89,384.29,0,50.421,49.769,82.58
19950630,383.5,392.1,382.6,384.6,0,50.226,49.921,81.58
19950731,384.5,391.75,381.7,382.6,0,47.653,49.165,81.66
19950831,382.54,387.79,380.7,382.75,0,46.12,48.15,85.57
19950929,381.79,386.89,378.85,384,0,46.626,47.642,84.29
19951031,383.1,386.1,380.39,383,0,44.43,46.571,83.68
19951130,382.54,390.5,381.1,387.79,0,49.228,47.457,85.26
19951229,387.1,390.79,385,387.1,0,46.965,47.293,84.76
19960131,386.85,409.5,386.7,406.29,0,61.152,51.913,87.38
19960229,407.25,418.39,395.5,400.75,0,59.23,54.352,86.29
19960329,399.35,401.7,391.25,395.6,0,53.608,54.104,86.52
19960430,395,398.54,389.5,391.89,0,46.732,51.646,88.02
19960531,390.6,396.2,389.39,391,0,41.397,48.23,87.78
19960628,391,391.6,380.1,380.7,0,28.12,41.527,87.82
19960731,381.2,387.79,380.25,385.75,0,23.666,35.573,85.9
19960830,386,390.5,385.29,386.75,0,21.566,30.904,86.36
19960930,386.7,387.89,377.6,379.04,0,15.554,25.787,87.94
19961031,377.85,385.39,377,378.54,0,11.61,21.062,87.43
19961129,377.6,385.2,371.29,371.89,0,8.397,16.84,87.92
19961231,370.25,374.79,365.7,367.95,0,7.882,13.854,88.12
19970131,367.75,368.89,343.2,344.35,0,5.978,11.229,93.04
19970228,344.25,363.5,336.14,361,0,18.927,13.795,94.95
19970331,362.89,364.2,345.29,351.5,0,22.037,16.542,94.75
19970430,349.75,352.39,337.5,339.6,0,16.813,16.632,97.18
19970530,339.14,351.39,338.6,344.89,0,16.845,16.703,94.85
19970630,344.7,345.7,333.1,334.2,0,11.931,15.112,95.67
19970731,334.5,335,313.7,324.79,0,13.124,14.45,99.64
19970829,324.14,329.7,317.25,325.5,0,15.188,14.696,98.95
19970930,324.1,335.7,319.35,334.7,0,22.809,17.4,97.07
19971031,333.6,339.79,307.25,311.7,0,17.81,17.537,95.64
19971128,310.89,316.39,294.5,297.2,0,13.165,16.08,97.79
19971231,297.25,297.75,281.1,289.29,0,12.606,14.922,99.7
19980130,288.14,306.6,276.75,302.7,0,19.993,16.612,100.72
19980227,302.2,304.2,290.5,299.39,0,24.274,19.166,99.84
19980331,299.5,304.89,286.25,301.2,0,29.111,22.481,101.46
19980430,300.45,315.2,298.6,306.89,0,35.344,26.769,99.72
19980529,306.25,307.2,290.39,293.2,0,32.261,28.599,100.48
19980630,292.75,300.5,283.7,297.2,0,32.321,29.84,101.13
19980731,297.64,298.7,285.7,286.7,0,29.914,29.865,101.14
19980831,286.2,290.35,270.75,275.3,0,23.355,27.695,100.2
19980930,277.1,300.29,276.85,297.2,0,35.405,30.265,96.16
19981030,296.2,305.2,290.6,292.79,0,40.131,33.554,93.68
19981130,292.6,298.64,287.6,293.6,0,43.889,36.999,96.16
19981231,292.29,297.6,285,288.5,0,42.57,38.856,94.17
19990129,288.29,293.75,281.39,286.39,0,42.683,40.132,96.08
19990226,286.39,290.79,284,287.29,0,44.459,41.574,98.65
19990331,286.5,295.1,278.1,280.29,0,38.87,40.673,100.01
19990430,279.89,288.1,277,286.79,0,41.434,40.926,101.07
19990531,286.2,290.2,267.39,270.79,0,30.62,37.491,102.34
19990630,269.85,270.35,256.89,261.75,0,23.767,32.916,102.83
19990730,262.25,263.95,252.05,256.2,0,18.814,28.215,99.77
19990831,255.9,261.899,251,255.3,0,15.618,24.016,100.05
19990930,255.4,326.8,253,298.55,0,31.322,26.452,98.43
19991029,297.7,339,285.4,298.2,0,38.76,30.555,99.01
19991130,297,299.4,286.3,290.5,0,40.802,33.97,102.02
19991231,290.45,292.25,274,287.5,0,41.027,36.323,101.83
20000131,288.45,290.7,278.9,282.7,0,39.359,37.335,105.04
20000229,283.2,319.1,281.95,291.75,0,41.675,38.782,106.06
20000331,291.3,293.85,274,278.65,0,38.257,38.607,105.47
20000428,276.5,288.2,272.3,273,0,33.838,37.017,109.93
20000531,273.75,282.3,268.7,271.65,0,29.787,34.607,108.6
20000630,271.65,293.8,271,289.6,0,29.768,32.994,106.94
20000731,289.4,289.5,276.15,276.75,0,25.169,30.386,109.61
20000831,277.1,278.9,270,277.25,0,22.434,27.735,112.61
20000929,277.5,279.4,268.25,274,0,18.726,24.732,113.19
