Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     
 2001/04/30,2117.45,2179.74,2081.64,2119.18,4460428,77.37,77.88
 2001/05/31,2119.89,2222.65,2119.89,2214.25,3323178,84.11,79.96
 2001/06/29,2216.56,2245.43,2157.12,2218.02,3219007,86.81,82.24
 2001/07/31,2220.41,2223.2,1909.29,1920.31,2300767,60.39,74.96
 2001/08/31,1925.23,1990.69,1795.56,1834.13,2148813,43.12,64.34
 2001/09/28,1831.7,1888.9,1750.76,1764.86,1824221,29.69,52.79
 2001/10/31,1766.13,1773.79,1514.86,1689.17,2051539,27.75,44.44
 2001/11/30,1692.35,1748,1550.46,1747.99,2073972,29.14,39.34
 2001/12/31,1751.05,1776.02,1593.03,1645.97,1720309,25.41,34.7
 2002/01/31,1643.48,1643.5,1339.2,1491.67,2021289,22.55,30.65
 2002/02/28,1494.58,1544.92,1476.13,1524.7,1191027,21.85,27.72
 2002/03/29,1521.53,1693.87,1494.83,1603.91,3809676,24.55,26.66
 2002/04/30,1598.03,1680.3,1575.97,1667.75,2258312,33.18,28.83
 2002/05/31,1669.87,1670.92,1506.54,1515.73,1280135,32.82,30.16
 2002/06/28,1510.25,1748.89,1455.31,1732.76,3488787,51.91,37.41
 2002/07/31,1736.29,1741.92,1647.27,1651.59,2415702,58.45,44.42
 2002/08/30,1650.05,1696.28,1624.05,1666.62,1365576,63.95,50.93
 2002/09/27,1666.34,1680.28,1577.53,1581.62,1109457,62.36,54.74
 2002/10/31,1577.05,1577.05,1488.68,1507.5,1231550,47.5,52.33
 2002/11/29,1507.38,1573.1,1353.14,1434.18,1806436,38.49,47.71
 2002/12/31,1432.03,1439.85,1348.71,1357.65,1574119,26.41,40.61
 2003/01/29,1347.43,1508.59,1311.68,1499.81,3188429,31.95,37.72
 2003/02/28,1499.17,1524.75,1474.47,1511.93,1476417,36.57,37.34
 2003/03/31,1511.58,1529.75,1447.01,1510.58,1772408,39.79,38.15
 2003/04/30,1513,1649.6,1473.27,1521.44,5425700,44.7,40.34
 2003/05/30,1522.98,1581.61,1477.25,1576.26,2659310,53.73,44.8
 2003/06/30,1577.99,1582.41,1483.69,1486.02,2407369,53.02,47.54
 2003/07/31,1485.52,1540.19,1464.87,1476.74,2109290,51.63,48.9
 2003/08/29,1476.47,1497.1,1406.68,1421.98,1298554,45.3,47.7
 2003/09/30,1423.35,1456.55,1348.22,1367.16,1552470,35.67,43.69
 2003/10/31,1366.2,1411.88,1334.78,1348.3,1644539,25.21,37.53
 2003/11/28,1346.48,1423.58,1307.4,1397.22,3096165,25.56,33.54
 2003/12/31,1398.71,1525.3,1398.71,1497.04,4695721,35.51,34.2
 2004/01/30,1492.72,1634.41,1491.69,1590.73,3569572,52.55,40.32
 2004/02/27,1630.65,1730.28,1585.96,1675.07,5958184,64.02,48.22
 2004/03/31,1676.22,1760.08,1634.71,1741.62,4683405,74.65,57.03
 2004/04/30,1744.71,1783.01,1572.23,1595.59,4042507,69.97,61.34
 2004/05/31,1600.63,1606.07,1508.65,1555.91,1625119,64.06,62.25
 2004/06/30,1555.56,1580.57,1376.22,1399.16,2372526,49.14,57.88
 2004/07/30,1398.2,1466.78,1366.5,1386.2,2405055,38.28,51.35
 2004/08/31,1381.88,1424.55,1310.02,1342.06,1907726,27.78,43.49
 2004/09/30,1340.75,1496.21,1259.43,1396.7,4155211,27.26,38.08
 2004/10/29,1395.67,1437.57,1289.87,1320.54,2746683,22.06,32.74
 2004/11/30,1317.66,1387.34,1290.99,1340.77,3200063,19.89,28.46
 2004/12/31,1340.92,1352.45,1264.15,1266.5,2373713,13.71,23.54
 2005/01/31,1260.78,1268.86,1189.21,1191.82,2062085,9.35,18.81
 2005/02/28,1189.5,1328.53,1187.26,1306,2575787,16.29,17.97
 2005/03/31,1305.25,1326.08,1162.03,1181.24,3755972,12.78,16.24
 2005/04/29,1180.37,1254.32,1135.73,1159.15,3885479,10.69,14.39
 2005/05/31,1160.62,1165.39,1043.28,1060.74,2239217,8.41,12.4
 2005/06/30,1059.61,1146.42,998.23,1080.94,4864711,11.88,12.22
 2005/07/29,1077.31,1097.63,1004.08,1083.03,3774041,15.19,13.21
 2005/08/31,1082.8,1201.76,1081.12,1162.8,7688623,25.61,17.34
 2005/09/30,1163.7,1223.56,1129.05,1155.61,5971197,32.96,22.55
 2005/10/31,1153.67,1165.67,1067.41,1092.82,3061254,31.52,25.54
 2005/11/30,1091.68,1122.88,1074.3,1099.26,3964881,31.28,27.45
 2005/12/30,1098.78,1173.06,1074.01,1161.06,3791003,42.05,32.32
 2006/01/25,1163.88,1262.09,1161.91,1258.05,5184907,60.86,41.83
 2006/02/28,1263,1304.61,1256.81,1299.03,5437882,73.3,52.32
 2006/03/31,1299.15,1313.13,1238.16,1298.3,5670376,80.6,61.75
 2006/04/28,1298.68,1444.71,1298.68,1440.22,9143278,86.67,70.05
 2006/05/31,1446.99,1678.6,1446.99,1641.3,12619326,89.08,76.4
 2006/06/30,1639.67,1695.58,1512.52,1672.21,10754336,91.48,81.42
 2006/07/31,1677.31,1757.47,1611.16,1612.73,9112710,87.26,83.37
 2006/08/31,1619.64,1667.53,1541.41,1658.64,6782227,86.69,84.47
 2006/09/29,1658.66,1755.69,1634.03,1752.42,8370505,90.84,86.6
 2006/10/31,1768.14,1842.73,1753.49,1837.99,8772998,93.63,88.94
 2006/11/30,1838.68,2102.06,1833.2,2099.29,13239222,95.65,91.18
 2006/12/29,2106.29,2698.9,2084.27,2675.47,18165910,96.54,92.97
 2007/01/31,2728.19,2994.28,2617.02,2786.33,25083646,93.21,93.05
 2007/02/28,2744.81,3049.77,2541.52,2881.07,15912531,91.82,92.64
 2007/03/30,2877.2,3273.73,2723.06,3183.98,25842196,92.82,92.7
 2007/04/30,3196.59,3851.35,3196.59,3841.27,31148512,95.07,93.49
 2007/05/31,3937.94,4335.96,3845.23,4109.65,31503582,93.92,93.63
 2007/06/29,4120.63,4312,3404.15,3820.7,29792672,89.3,92.19
 2007/07/31,3800.23,4476.63,3563.54,4471.03,18476480,92.79,92.39
